[11-Nov-2024 09:42:51 Europe/Berlin] PHP Notice:  Undefined index: projectIdDisplay in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 14
[11-Nov-2024 09:55:39 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_URL - assumed 'PAYPAL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 42
[11-Nov-2024 09:55:39 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CURRENCY - assumed 'PAYPAL_CURRENCY' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 78
[11-Nov-2024 09:55:39 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 79
[11-Nov-2024 09:55:39 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 80
[11-Nov-2024 09:55:39 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 81
[11-Nov-2024 09:58:41 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_URL - assumed 'PAYPAL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 42
[11-Nov-2024 09:58:41 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CURRENCY - assumed 'PAYPAL_CURRENCY' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 78
[11-Nov-2024 09:58:41 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 79
[11-Nov-2024 09:58:41 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 80
[11-Nov-2024 09:58:41 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 81
[11-Nov-2024 09:59:45 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CURRENCY - assumed 'PAYPAL_CURRENCY' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 82
[11-Nov-2024 09:59:45 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 83
[11-Nov-2024 09:59:45 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 84
[11-Nov-2024 09:59:45 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 85
[11-Nov-2024 10:01:25 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CURRENCY - assumed 'PAYPAL_CURRENCY' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 82
